letter,count_all,count_uppercase,percentage
n,903,0,8.084163898117387
e,903,0,17.16500553709856
w,903,0,3.5437430786267994
s,903,0,7.087486157253599
t,903,0,10.077519379844961
h,903,0,5.3156146179401995
f,903,0,1.2181616832779625
i,903,0,6.2015503875969
r,903,0,5.980066445182724
p,903,0,0.7751937984496124
u,903,0,1.9933554817275747
b,903,0,0.9966777408637874
l,903,0,1.7718715393133997
c,903,0,3.322259136212625
a,903,0,4.761904761904762
d,903,0,4.4296788482834994
o,903,0,8.084163898117387
g,903,0,1.6611295681063125
m,903,0,0.9966777408637874
v,903,0,0.9966777408637874
y,903,0,2.436323366555925
k,903,0,2.2148394241417497
j,903,0,0.8859357696566998
